'absinthe'	'アブサント,茴香酒'
'acre'	'エーカー,噎'
'alcohol'	'アルコール,酒精'
'america'	'アメリカ,亞米利加,亜米利加,亜墨利加'
'american'	'アメリカン,メリ,メリケン,米利堅,米利'
'arabia'	'アラビヤ,アラビア,亞剌比亞,亜刺比亜,亜剌比亜'
'arrack'	'アラク,阿刺吉,阿剌吉'
'asia'	'アジア,アジヤ,亜細亜'
'athens'	'アテネ,アテーネ,雅典,亜典'
'austria'	'オーストリア,オーストリー,墺太利,墺地利'
'bed'	'ベッド,ベツド,臥床'
'beer'	'ビール,ビヤ,麦酒,麥酒'
'belgie'	'ベルギー,白耳義'
'berlin'	'ベルリン,伯林'
'blik'	'ブリキ,ブリッキ,鐵葉'
'brahmana'	'バラモン,波羅門'
'britain'	'ブリテン,不烈巓'
'brush'	'ブラシ,ブラッシ,楊子'
'bull'	'ブル,牡牛'
'button'	'ボタン,釦,釦鈕'
'caesar'	'シーザー,カエサル,シイザル,該撒'
'canada'	'カナダ,加奈陀'
'capitao'	'カピテン,甲比丹,加比丹'
'caravan'	'カラバン,隊商'
'carta'	'カルタ,歌留多,加留多,骨牌,歌牌'
'catarre'	'カタル,加答兒'
'cent'	'セント,仙'
'centimetre'	'サンチ,珊'
'cholera'	'コレラ,コロリ,虎烈剌,虎列剌,虎列拉'
'christ'	'キリスト,クリスト,基督'
'christao'	'キリシタン,切支丹'
'club'	'クラブ,倶樂部,倶楽部'
'coffee'	'コピ,コーヒー,珈琲'
'cola'	'コラ,コーラ,可楽'
'come here'	'カメ,洋犬'
'cruz'	'キリ,聖磔'
'curtain'	'カーテン,カアテン,窓帷'
'deck'	'デツキ,デッキ,甲板'
'denmark'	'デンマーク,デンマルク,丁抹'
'dollar'	'ドル,弗'
'duits'	'ドイツ,獨逸,独逸,独乙'
'egypt'	'エジプト,エヂプト,埃及'
'electriciteit'	'エレキ,越歴機'
'espana'	'イスパニヤ,以斯班牙'
'europa'	'ヨーロッパ,ヨオロッパ,歐羅巴,欧羅巴'
'gas'	'ガス,瓦斯'
'germane'	'ゲルマン,日耳曼'
