"aberdeen"	"アバディーン,Aberdeen"
"act"	"アクト,Act"
"action"	"アクション,action"
"active"	"アクチブ,active"
"adam"	"アダム,Adam"
"adonis"	"アドニス,Adonis"
"al"	"アル,アッ,al,Al"
"albert"	"アルバート,Albert"
"all"	"オール,all"
"aluminium"	"アルミニウム,Aluminium"
"am"	"アム,Am,am"
"amaranth"	"アマランス,Amaranth"
"ambition"	"アンビション,Ambition"
"amour"	"アムール,AMOUR"
"anachronism"	"アナクロニズム,anachronism"
"anatole"	"アナトール,アナトオル,Anatole"
"and"	"アンド,エンド,ヱンド,and,And"
"aphrodite"	"アフロディーテ,Aphrodite"
"apollon"	"アポロ,Apollon"
"art"	"アート,Art"
"asphalt"	"アスファルト,Asphalt"
"authority"	"オーソリチー,Authority,authority"
"aux"	"オー,Aux"
"bacchus"	"バッカス,Bacchus"
"ball"	"ボール,ボオル,BALL"
"balzac"	"バルザツク,バルザック,Balzac"
"baptist"	"バプテスト,Baptist"
"basil"	"バジル,Basil"
"battle"	"バトル,Battle"
"baudelaire"	"ボオドレエル,ボドレエル,ボードレール,Baudelaire"
"be"	"ビイ,be"
"beam"	"ビーム,beam"
"belfast"	"ベルファスト,Belfast"
"bernard"	"ベルナアル,ベルナール,バーナード,Bernard"
"bid"	"ビッド,bid"
"bishop"	"ビショップ,Bishop"
"bismarck"	"ビスマーク,ビスマルク,Bismarck"
"blanc"	"ブラン,blanc"
"blow"	"ブロー,blow"
"body"	"バディー,Body"
"book"	"ブック,Book"
"born"	"ボーン,born"
"boy"	"ボーイ,ボイ,ボオイ,boy"
"bread"	"ブレッド,bread"
"bridge"	"ブリッジ,Bridge"
"bristol"	"ブリストル,Bristol"
"broughton"	"ブロートン,Broughton"
"bruxelles"	"ブラッセル,ブリュッセル,Bruxelles"
"buffet"	"ビュッフェ,Buffet"
"by"	"バイ,by,By"
"cafe"	"カフェー,カフェ,カフエ,カッフェエ,カッフェー,Cafe"
"calvinism"	"カルビニズム,Calvinism"
"captain"	"キャプテン,Captain"
"car"	"カー,Car"
"casuistica"	"カズイスチカ,Casuistica"
"cathedral"	"カテドラル,Cathedral"
"century"	"センチュリー,Century"
"chamberlain"	"チェンバーレン,チヤンバーレン,チャンバーレン,Chamberlain"
"child"	"チャイルド,Child"
"chopin"	"ショパン,Chopin"
"church"	"チャーチ,チョルチ,Church"
"ciel"	"シエル,ciel"
"cock"	"コツク,コック,COCK,cock"
"college"	"カレッジ,College"
"congregational"	"コングレゲーショナル,Congregational"
"constantin"	"コンスタンチン,コンスタンティン,Constantin"
"corneille"	"コルネイユ,Corneille"
"cow"	"カウ,cow"
"culture"	"カルチュア,Culture,culture"
"cup"	"カップ,cup"
"daniel"	"ダニエル,ダニヱル,Daniel"
"dante"	"ダンテ,Dante"
"darjeeling"	"ダージリン,Darjeeling"
"das"	"ダス,das"
"david"	"ダビデ,David"
"dawn"	"ドーン,dawn"
"day"	"デー,デイ,day"
"dear"	"ディア,Dear,dear"
"deep"	"ディープ,deep"
"degas"	"ドガ,Degas"
"delicate"	"デリケート,delicate"
"des"	"デ,des"
"desire"	"デザイア,desire"
"devil"	"デビル,Devil"
"die"	"ダイ,Die,die"
"dogma"	"ドグマ,dogma,Dogma"
"don"	"ドン,Don"
"dover"	"ドーバー,Dover"
"dublin"	"ダブリン,Dublin"
"earth"	"アース,earth"
"economic"	"エコノミック,Economic"
"ecstasy"	"エクスタシイ,ecstasy"
"education"	"エヂユケーシヨン,Education"
"effect"	"エフェクト,Effect"
"eiffel"	"エッフェル,Eiffel"
"emerson"	"エマソン,エメルソン,ヱマルソン,エマーソン,エマルソン,ヱメルソン,Emerson"
"england"	"イングランド,England"
"episcopal"	"エピスコパル,Episcopal"
"ernst"	"エルンスト,Ernst"
"es"	"エス,es"
"euphrates"	"ユーフラテス,Euphrates"
"eva"	"エバ,エヴァ,Eva"
"eve"	"イヴ,イブ,Eve"
"everest"	"エヴェレスト,エベレスト,Everest"
"eye"	"アイズ,eye"
"father"	"ファザー,Father"
"fisher"	"フィッシャー,フィシャー,Fisher"
"folk"	"フォーク,Folk"
"for"	"フォー,for"
"form"	"フォーム,Form,form"
"fountain"	"ファウンテン,Fountain"
"free"	"フリー,Free,free"
"friend"	"フレンド,Friend,friend"
"front"	"フロント,front"
"fuchs"	"フックス,Fuchs"
"gem"	"ゼム,ジェム,GEM"
"genius"	"ジニアス,ヂニアス,Genius"
